step ,elapsed_tokens ,elapsed_examples ,training_loss         ,training_sequence_accuracy ,training_token_accuracy ,validation_loss       ,validation_sequence_accuracy ,validation_token_accuracy ,classification/accuracy ,classification/weighted_f1_score
  70 ,        171696 ,             560 ,0.020654324289321853  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  71 ,        173496 ,             568 ,0.015304255606359495  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  72 ,        175616 ,             576 ,0.012431533577898807  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  73 ,        177480 ,             584 ,0.019625103164518678  ,                     0.875 ,                  0.875 ,0.01131918252277048   ,                       1.0   ,                    1.0   ,                        ,
  74 ,        180176 ,             592 ,0.018900245510645737  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
  75 ,        182680 ,             600 ,0.01307616273414924   ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  76 ,        186144 ,             608 ,0.009222039965479238  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  77 ,        189032 ,             616 ,0.01232194436793796   ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  78 ,        190384 ,             624 ,0.015952160135718495  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  79 ,        192824 ,             632 ,0.011013733698963657  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  80 ,        195264 ,             640 ,0.016443577955988754  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  81 ,        196936 ,             648 ,0.016214467973011938  ,                     0.875 ,                  0.875 ,0.01592621898908542   ,                       0.875 ,                    0.875 ,                        ,
  82 ,        199312 ,             656 ,0.01676546719809885   ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  83 ,        201432 ,             664 ,0.016428822459248666  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
