step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
412,723472,1648,0.007770406123327774,1.0,1.0,,,,,
413,725012,1652,0.010768797638925175,0.75,0.75,,,,,
414,726392,1656,0.012203518334257247,0.75,0.75,,,,,
415,728508,1660,0.009744981259927241,0.75,0.75,,,,,
416,730016,1664,0.011950594356853507,0.75,0.75,,,,,
417,731204,1668,0.007728099911127369,0.75,0.75,0.008012042530482308,0.75,0.75,,
418,732968,1672,0.009752178037459315,1.0,1.0,,,,,
419,734348,1676,0.011776237848525054,0.75,0.75,,,,,
420,735888,1680,0.017425416014186155,0.75,0.75,,,,,
421,737620,1684,0.012470570600693613,0.5,0.5,,,,,
422,739928,1688,0.010620306452214987,1.0,1.0,,,,,
423,741180,1692,0.011251017412223648,0.75,0.75,,,,,
424,742464,1696,0.013530285149737666,0.75,0.75,,,,,
425,743780,1700,0.012792096399991883,0.5,0.5,0.013675351529336598,0.5,0.5,,
426,744904,1704,0.01545558128672103,0.5,0.5,,,,,
427,747436,1708,0.011309219554971588,0.25,0.25,,,,,
428,749136,1712,0.007199242920481508,0.75,0.75,,,,,
429,750772,1716,0.01154697311271513,0.75,0.75,,,,,
430,752728,1720,0.011105493938696273,0.75,0.75,,,,,
431,754652,1724,0.012019282550791096,0.75,0.75,,,,,
432,756832,1728,0.011739308984140145,1.0,1.0,,,,,
433,759236,1732,0.008481708060917139,0.75,0.75,0.004450944607694358,1.0,1.0,,
434,761352,1736,0.012595158217727767,0.75,0.75,,,,,
435,763052,1740,0.009119001827817344,0.75,0.75,,,,,
436,764336,1744,0.01888167996650741,0.75,0.75,,,,,
437,766292,1748,0.01339618322182204,0.5,0.5,,,,,
438,768312,1752,0.010736226356288495,0.75,0.75,,,,,
439,769980,1756,0.005377655909581309,0.75,0.75,,,,,
