step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
249,1005704,1992,0.011281044658243618,0.75,0.75,0.009183530678781106,0.625,0.625,,
250,1009680,2000,0.010527336226759111,0.75,0.75,,,,,
251,1015128,2008,0.010823869145102997,0.625,0.625,,,,,
252,1020704,2016,0.00747705811482063,0.75,0.75,,,,,
253,1025768,2024,0.004573395878314169,0.75,0.75,,,,,
254,1031024,2032,0.008579810083753695,0.5,0.5,,,,,
255,1034872,2040,0.008414260978116768,0.875,0.875,,,,,
256,1039104,2048,0.007485963854587518,1.0,1.0,,,,,
257,1043656,2056,0.008667571397496358,0.75,0.75,0.008582595447699796,0.75,0.75,,
258,1047504,2064,0.00873553380360243,0.625,0.625,,,,,
259,1051608,2072,0.0085871238108748,0.875,0.875,,,,,
260,1055840,2080,0.007016263706699681,0.75,0.75,,,,,
261,1061288,2088,0.007716302160986361,0.75,0.75,,,,,
262,1065328,2096,0.009753056275683835,0.875,0.875,,,,,
263,1069624,2104,0.009554436283435793,0.625,0.625,,,,,
264,1073664,2112,0.008967974641125186,0.75,0.75,,,,,
265,1077064,2120,0.007656672527551921,1.0,1.0,0.007509463456676116,0.875,0.875,,
266,1081488,2128,0.006536917571239117,0.875,0.875,,,,,
267,1086616,2136,0.007672065893176307,0.625,0.625,,,,,
268,1091872,2144,0.006932272909735639,0.75,0.75,,,,,
269,1095336,2152,0.013234306169069872,0.625,0.625,,,,,
270,1097968,2160,0.010906797211424853,0.625,0.625,,,,,
271,1101496,2168,0.00779668793280967,0.75,0.75,,,,,
272,1105088,2176,0.008378936028054467,1.0,1.0,,,,,
273,1108552,2184,0.008921358705497413,0.875,0.875,0.00878860815458236,0.75,0.75,,
274,1111696,2192,0.009247378018137329,0.875,0.875,,,,,
275,1115416,2200,0.00702487257478702,0.875,0.875,,,,,
276,1119264,2208,0.008676880830081517,0.75,0.75,,,,,
277,1122344,2216,0.012949973103456873,0.625,0.625,,,,,
278,1127408,2224,0.009902840991372213,0.5,0.5,,,,,
279,1130872,2232,0.00784551128161545,0.75,0.75,,,,,
280,1134464,2240,0.008605594074422816,0.875,0.875,,,,,
281,1137672,2248,0.007902544467154202,0.875,0.875,0.005910687461675994,0.75,0.75,,
282,1141776,2256,0.008740369818306892,0.75,0.75,,,,,
283,1145368,2264,0.012107215231650233,0.75,0.75,,,,,
284,1149024,2272,0.011473768042410064,0.5,0.5,,,,,
285,1152360,2280,0.012176009161600786,0.75,0.75,,,,,
286,1155568,2288,0.012165767663077363,0.875,0.875,,,,,
287,1161016,2296,0.007513477310634682,0.75,0.75,,,,,
288,1165120,2304,0.009627552058313418,0.875,0.875,,,,,
289,1169800,2312,0.006645974454611524,1.0,1.0,0.006260504197192751,0.875,0.875,,
290,1172560,2320,0.007956894315517896,0.875,0.875,,,,,
291,1176024,2328,0.011130940037517464,0.75,0.75,,,,,
292,1178656,2336,0.010056901375217203,0.875,0.875,,,,,
293,1182312,2344,0.009637479573607338,1.0,1.0,,,,,
294,1186352,2352,0.007720668640959266,1.0,1.0,,,,,
295,1190520,2360,0.00834924306150524,0.625,0.625,,,,,
296,1195200,2368,0.01035025553619143,0.75,0.75,,,,,
297,1198984,2376,0.007009233266102138,1.0,1.0,0.009417889739069185,0.875,0.875,,
298,1202960,2384,0.007957802158813957,0.625,0.625,,,,,
299,1206872,2392,0.010155975481655501,0.5,0.5,,,,,
300,1210656,2400,0.008266738790061253,0.75,0.75,,,,,
301,1214632,2408,0.008648530952393983,0.75,0.75,,,,,
302,1217584,2416,0.009492932064815881,0.875,0.875,,,,,
303,1222968,2424,0.007873533292408325,0.875,0.875,,,,,
304,1227712,2432,0.0072167050019718015,0.75,0.75,,,,,
305,1231688,2440,0.009917616033176856,0.75,0.75,0.009285556029497698,0.875,0.875,,
306,1235344,2448,0.008971352907464975,0.25,0.25,,,,,
307,1239320,2456,0.005674458725577568,0.875,0.875,,,,,
308,1243488,2464,0.011274948591992337,0.875,0.875,,,,,
309,1247784,2472,0.008268110395989342,0.75,0.75,,,,,
310,1251568,2480,0.007841299663648067,0.875,0.875,,,,,
311,1255928,2488,0.007624239263898837,0.625,0.625,,,,,
312,1259392,2496,0.007664659805805403,0.75,0.75,,,,,
313,1262088,2504,0.010594996858870623,0.75,0.75,0.008275870517546767,0.75,0.75,,
314,1265936,2512,0.008220187151718126,0.75,0.75,,,,,
315,1271576,2520,0.004356953427327714,0.75,0.75,,,,,
316,1277088,2528,0.007317547349784038,0.875,0.875,,,,,
317,1280808,2536,0.007522032519359299,0.75,0.75,,,,,
318,1285744,2544,0.005942450507440298,0.75,0.75,,,,,
319,1290168,2552,0.00903860927876345,0.5,0.5,,,,,
320,1292736,2560,0.011953341738698896,0.75,0.75,,,,,
321,1295816,2568,0.009514737875668845,0.75,0.75,0.008175258499613034,0.875,0.875,,
322,1298960,2576,0.008816695614103085,0.75,0.75,,,,,
323,1302296,2584,0.010661503472978003,0.875,0.875,,,,,
324,1308000,2592,0.006294999261027541,0.875,0.875,,,,,
325,1310440,2600,0.009667852637562825,0.625,0.625,,,,,
326,1314352,2608,0.011086169778172656,0.75,0.75,,,,,
327,1319736,2616,0.006755701638821234,0.625,0.625,,,,,
328,1323200,2624,0.009897893689393393,0.75,0.75,,,,,
329,1327304,2632,0.008221627424563428,0.625,0.625,0.010269413220909194,0.75,0.75,,
330,1330896,2640,0.00880050280908271,0.875,0.875,,,,,
331,1335512,2648,0.00672408047283762,0.75,0.75,,,,,
332,1338976,2656,0.010703287933884642,0.875,0.875,,,,,
333,1344168,2664,0.00860164297094404,0.625,0.625,,,,,
334,1348592,2672,0.00784420547434729,0.75,0.75,,,,,
